CSDUID,CSD Name,Year,Indicator,Value
4811018,Devon,2005,Number of Businesses,217
4811019,Calmar,2005,Number of Businesses,133
4811021,Thorsby,2005,Number of Businesses,125
4811024,Warburg,2005,Number of Businesses,75
4811026,Breton,2005,Number of Businesses,104
4811031,Drayton Valley,2005,Number of Businesses,861
4811032,Brazeau County,2005,Number of Businesses,88
4811034,Parkland County,2005,Number of Businesses,814
4811045,Wabamun,2005,Number of Businesses,49
4811046,Spring Lake,2005,Number of Businesses,15
4811048,Stony Plain,2005,Number of Businesses,748
4811049,Spruce Grove,2005,Number of Businesses,859
4811052,Strathcona County,2005,Number of Businesses,3265
4811056,Fort Saskatchewan,2005,Number of Businesses,502
4811059,Sturgeon County,2005,Number of Businesses,148
4811061,Edmonton,2005,Number of Businesses,29869
4811062,St. Albert,2005,Number of Businesses,2188
4811064,Gibbons,2005,Number of Businesses,131
4811065,Redwater,2005,Number of Businesses,145
4811066,Bon Accord,2005,Number of Businesses,55
4811068,Morinville,2005,Number of Businesses,312
4811069,Legal,2005,Number of Businesses,93
4811803,Louis Bull 138B,2005,Number of Businesses,46
4811804,Stony Plain 135,2005,Number of Businesses,17
4811806,Wabamun 133A,2005,Number of Businesses,34
4812002,Cold Lake,2005,Number of Businesses,499
4812004,Bonnyville No. 87,2005,Number of Businesses,168
4812009,Bonnyville,2005,Number of Businesses,699
4812012,Glendon,2005,Number of Businesses,48
4812014,St. Paul County No. 19,2005,Number of Businesses,484
4812016,Elk Point,2005,Number of Businesses,145
4812018,St. Paul,2005,Number of Businesses,48
4812022,Smoky Lake County,2005,Number of Businesses,32
4812024,Vilna,2005,Number of Businesses,23
4812026,Waskatenau,2005,Number of Businesses,28
4812029,Smoky Lake,2005,Number of Businesses,92
4815015,Bighorn No. 8,2005,Number of Businesses,394
4812802,Unipouheos 121,2005,Number of Businesses,5
4813061,Whispering Hills,2005,Number of Businesses,14
4812810,Cold Lake 149,2005,Number of Businesses,19
4813001,Lac Ste. Anne County,2005,Number of Businesses,108
4813002,Mayerthorpe,2005,Number of Businesses,186
4817031,Opportunity No. 17,2005,Number of Businesses,201
4813012,Alberta Beach,2005,Number of Businesses,38
4813014,Onoway,2005,Number of Businesses,162
4813019,Barrhead,2005,Number of Businesses,428
4813028,Westlock County,2005,Number of Businesses,140
4813029,Woodlands County,2005,Number of Businesses,78
4813030,Whitecourt,2005,Number of Businesses,1024
4813031,Westlock,2005,Number of Businesses,392
4813032,Clyde,2005,Number of Businesses,45
4813036,Thorhild County No. 7,2005,Number of Businesses,45
4813044,Athabasca County,2005,Number of Businesses,228
4813048,Athabasca,2005,Number of Businesses,300
4813049,Island Lake,2005,Number of Businesses,6
4813051,Island Lake South,2005,Number of Businesses,2
4813055,South Baptiste,2005,Number of Businesses,2
4813057,West Baptiste,2005,Number of Businesses,2
4814003,Yellowhead County,2005,Number of Businesses,310
4814019,Hinton,2005,Number of Businesses,593
4814024,Edson,2005,Number of Businesses,792
4815007,Crowsnest Pass,2005,Number of Businesses,258
4815013,Kananaskis,2005,Number of Businesses,17
4815023,Canmore,2005,Number of Businesses,741
4815033,Jasper,2005,Number of Businesses,292
4815035,Banff,2005,Number of Businesses,391
4816037,Wood Buffalo,2005,Number of Businesses,1442
4816817,Janvier 194,2005,Number of Businesses,10
4816852,Dog Head 218,2005,Number of Businesses,15
4817021,High Prairie,2005,Number of Businesses,338
4817024,Swan Hills,2005,Number of Businesses,125
4817027,Big Lakes,2005,Number of Businesses,79
4817029,Slave Lake,2005,Number of Businesses,104
4817033,Lesser Slave River No.124,2005,Number of Businesses,547
4817825,Clear Hills 152C,2005,Number of Businesses,166
4817078,Manning,2005,Number of Businesses,187
4817093,High Level,2005,Number of Businesses,345
4817095,Mackenzie County,2005,Number of Businesses,381
4817097,Rainbow Lake,2005,Number of Businesses,70
4817819,Wabasca 166A,2005,Number of Businesses,5
4817829,Sucker Creek 150A,2005,Number of Businesses,14
4817835,Fox Lake 162,2005,Number of Businesses,1
4817845,Hay Lake 209,2005,Number of Businesses,8
4817849,Upper Hay River 212,2005,Number of Businesses,1
4817856,Woodland Cree 226,2005,Number of Businesses,8
4818002,Fox Creek,2005,Number of Businesses,161
4818005,Grande Cache,2005,Number of Businesses,154
4818015,Greenview No. 16,2005,Number of Businesses,424
4818816,Sturgeon Lake 154,2005,Number of Businesses,5
4819008,Hythe,2005,Number of Businesses,96
4819009,Beaverlodge,2005,Number of Businesses,282
4819011,Wembley,2005,Number of Businesses,117
4819012,Grande Prairie,2005,Number of Businesses,3110
4819014,Sexsmith,2005,Number of Businesses,238
4819038,Peace River,2005,Number of Businesses,523
4819041,Smoky River No. 130,2005,Number of Businesses,148
4819042,McLennan,2005,Number of Businesses,43
4819044,Donnelly,2005,Number of Businesses,22
4819048,Girouxville,2005,Number of Businesses,46
4819049,Birch Hills County,2005,Number of Businesses,197
4819056,Rycroft,2005,Number of Businesses,80
4819058,Spirit River,2005,Number of Businesses,161
4819059,Saddle Hills County,2005,Number of Businesses,90
4819066,Fairview No. 136,2005,Number of Businesses,13
4819068,Fairview,2005,Number of Businesses,343
4819072,Berwyn,2005,Number of Businesses,38
4819074,Grimshaw,2005,Number of Businesses,210
4819826,Duncan's 151A,2005,Number of Businesses,5
4801003,Cypress County,2006,Number of Businesses,231
4801006,Medicine Hat,2006,Number of Businesses,2556
4801008,Forty Mile County No. 8,2006,Number of Businesses,79
4801009,Foremost,2006,Number of Businesses,90
4801014,Bow Island,2006,Number of Businesses,149
4801018,Redcliff,2006,Number of Businesses,223
4802001,Warner County No. 5,2006,Number of Businesses,64
4802002,Coutts,2006,Number of Businesses,20
4802004,Milk River,2006,Number of Businesses,85
4802006,Warner,2006,Number of Businesses,40
4802008,Raymond,2006,Number of Businesses,112
4802009,Stirling,2006,Number of Businesses,22
4802011,Lethbridge County,2006,Number of Businesses,228
4802012,Lethbridge,2006,Number of Businesses,3109
4802013,Coalhurst,2006,Number of Businesses,60
4802014,Nobleford,2006,Number of Businesses,34
4802016,Barons,2006,Number of Businesses,17
4802018,Picture Butte,2006,Number of Businesses,166
4802019,Coaldale,2006,Number of Businesses,311
4802022,Taber,2006,Number of Businesses,652
4802023,Barnwell,2006,Number of Businesses,23
4802029,Vauxhall,2006,Number of Businesses,104
4802031,Newell County,2006,Number of Businesses,301
4813018,Barrhead County No. 11,2006,Number of Businesses,141
4802034,Brooks,2006,Number of Businesses,904
4802036,Duchess,2006,Number of Businesses,73
4802038,Rosemary,2006,Number of Businesses,34
4803001,Cardston County,2006,Number of Businesses,43
4803002,Magrath,2006,Number of Businesses,73
4812038,Improvement District No. 349,2006,Number of Businesses,131
4803004,Cardston,2006,Number of Businesses,189
4803006,Glenwood,2006,Number of Businesses,12
4810058,Lamont County,2006,Number of Businesses,13
4803011,Pincher Creek No. 9,2006,Number of Businesses,36
4803014,Pincher Creek,2006,Number of Businesses,302
4803016,Cowley,2006,Number of Businesses,18
4803018,Willow Creek No. 26,2006,Number of Businesses,26
4803019,Fort Macleod,2006,Number of Businesses,222
4803021,Granum,2006,Number of Businesses,31
4803022,Claresholm,2006,Number of Businesses,226
4803024,Stavely,2006,Number of Businesses,27
4803026,Nanton,2006,Number of Businesses,175
4803802,Blood 148,2006,Number of Businesses,15
4804001,Acadia No. 34,2006,Number of Businesses,28
4804004,Special Area No. 2,2006,Number of Businesses,49
4804006,Empress,2006,Number of Businesses,9
4804011,Hanna,2006,Number of Businesses,197
4804012,Special Area No. 3,2006,Number of Businesses,28
4804014,Oyen,2006,Number of Businesses,85
4804016,Cereal,2006,Number of Businesses,18
4804019,Youngstown,2006,Number of Businesses,24
4804020,Special Area No. 4,2006,Number of Businesses,34
4804021,Veteran,2006,Number of Businesses,31
4804022,Consort,2006,Number of Businesses,123
4805001,Vulcan County,2006,Number of Businesses,95
4805002,Carmangay,2006,Number of Businesses,20
4805006,Vulcan,2006,Number of Businesses,173
4805009,Milo,2006,Number of Businesses,34
4805011,Arrowwood,2006,Number of Businesses,22
4805012,Wheatland County,2006,Number of Businesses,117
4805018,Strathmore,2006,Number of Businesses,588
4805019,Hussar,2006,Number of Businesses,35
4805021,Standard,2006,Number of Businesses,52
4805022,Rockyford,2006,Number of Businesses,38
4805026,Drumheller,2006,Number of Businesses,474
4805031,Starland County,2006,Number of Businesses,14
4805034,Delia,2006,Number of Businesses,32
4805036,Munson,2006,Number of Businesses,7
4805038,Morrin,2006,Number of Businesses,19
4805041,Kneehill County,2006,Number of Businesses,41
4805042,Carbon,2006,Number of Businesses,37
4805044,Acme,2006,Number of Businesses,54
4805046,Linden,2006,Number of Businesses,55
4805048,Three Hills,2006,Number of Businesses,226
4805049,Trochu,2006,Number of Businesses,137
4805802,Siksika 146,2006,Number of Businesses,7
4806001,Foothills No. 31,2006,Number of Businesses,650
4806006,High River,2006,Number of Businesses,637
4806008,Longview,2006,Number of Businesses,37
4806009,Turner Valley,2006,Number of Businesses,104
4806011,Black Diamond,2006,Number of Businesses,92
4806012,Okotoks,2006,Number of Businesses,902
4806014,Rocky View County,2006,Number of Businesses,1800
4806016,Calgary,2006,Number of Businesses,43909
4806017,Chestermere,2006,Number of Businesses,234
4806019,Cochrane,2006,Number of Businesses,728
4806021,Airdrie,2006,Number of Businesses,906
4806022,Irricana,2006,Number of Businesses,59
4806024,Beiseker,2006,Number of Businesses,74
4806026,Crossfield,2006,Number of Businesses,191
4806028,Mountain View County,2006,Number of Businesses,40
4806029,Carstairs,2006,Number of Businesses,164
4806031,Cremona,2006,Number of Businesses,60
4806032,Didsbury,2006,Number of Businesses,279
4806034,Olds,2006,Number of Businesses,616
4806036,Sundre,2006,Number of Businesses,397
4807001,Provost No. 52,2006,Number of Businesses,51
4807002,Provost,2006,Number of Businesses,275
4807004,Czar,2006,Number of Businesses,41
4807006,Hughenden,2006,Number of Businesses,37
4807008,Amisk,2006,Number of Businesses,21
4807011,Paintearth County No. 18,2006,Number of Businesses,6
4807012,Coronation,2006,Number of Businesses,154
4807014,Castor,2006,Number of Businesses,102
4807016,Halkirk,2006,Number of Businesses,19
4807019,Stettler County No. 6,2006,Number of Businesses,76
4807021,Big Valley,2006,Number of Businesses,44
4807024,Botha,2006,Number of Businesses,17
4807026,Stettler,2006,Number of Businesses,564
4807028,Rochon Sands,2006,Number of Businesses,1
4807029,Donalda,2006,Number of Businesses,34
4807032,Alliance,2006,Number of Businesses,41
4807034,Galahad,2006,Number of Businesses,21
4807036,Forestburg,2006,Number of Businesses,84
4807038,Heisler,2006,Number of Businesses,17
4807039,Daysland,2006,Number of Businesses,88
4807041,Strome,2006,Number of Businesses,28
4807042,Killam,2006,Number of Businesses,112
4807044,Sedgewick,2006,Number of Businesses,128
4807046,Lougheed,2006,Number of Businesses,50
4807048,Hardisty,2006,Number of Businesses,76
4807049,Wainwright No. 61,2006,Number of Businesses,7
4807051,Chauvin,2006,Number of Businesses,51
4807052,Edgerton,2006,Number of Businesses,56
4807054,Wainwright,2006,Number of Businesses,443
4807056,Irma,2006,Number of Businesses,73
4808001,Red Deer County,2006,Number of Businesses,866
4808002,Elnora,2006,Number of Businesses,29
4808004,Delburne,2006,Number of Businesses,77
4808005,Jarvis Bay,2006,Number of Businesses,10
4808006,Bowden,2006,Number of Businesses,103
4808008,Innisfail,2006,Number of Businesses,550
4808009,Penhold,2006,Number of Businesses,85
4808011,Red Deer,2006,Number of Businesses,3697
4808012,Sylvan Lake,2006,Number of Businesses,396
4808013,Norglenwold,2006,Number of Businesses,15
4808022,Lacombe County,2006,Number of Businesses,245
4808023,Birchcliff,2006,Number of Businesses,7
4808025,Half Moon Bay,2006,Number of Businesses,2
4808026,Bentley,2006,Number of Businesses,123
4808029,Blackfalds,2006,Number of Businesses,201
4808031,Lacombe,2006,Number of Businesses,767
4808032,Clive,2006,Number of Businesses,62
4808034,Alix,2006,Number of Businesses,74
4808038,Ponoka County,2006,Number of Businesses,71
4808039,Ponoka,2006,Number of Businesses,501
4808044,Rimbey,2006,Number of Businesses,274
4809002,Clearwater County,2006,Number of Businesses,262
4809010,Caroline,2006,Number of Businesses,117
4809015,Rocky Mountain House,2006,Number of Businesses,835
4810001,Camrose County,2006,Number of Businesses,152
4810002,Bashaw,2006,Number of Businesses,99
4810006,Edberg,2006,Number of Businesses,24
4810009,Bawlf,2006,Number of Businesses,37
4810011,Camrose,2006,Number of Businesses,867
4810012,Bittern Lake,2006,Number of Businesses,12
4810014,Hay Lakes,2006,Number of Businesses,36
4810016,Beaver County,2006,Number of Businesses,223
4810019,Ryley,2006,Number of Businesses,33
4810021,Holden,2006,Number of Businesses,23
4810022,Viking,2006,Number of Businesses,137
4810026,Minburn County No. 27,2006,Number of Businesses,53
4810028,Vegreville,2006,Number of Businesses,312
4810032,Minburn,2006,Number of Businesses,8
4810034,Mannville,2006,Number of Businesses,62
4810036,Vermilion River County,2006,Number of Businesses,354
4810039,Lloydminster (Part),2006,Number of Businesses,974
4810041,Kitscoty,2006,Number of Businesses,71
4810042,Vermilion,2006,Number of Businesses,299
4810044,Marwayne,2006,Number of Businesses,68
4810046,Dewberry,2006,Number of Businesses,38
4810048,Two Hills County No. 21,2006,Number of Businesses,9
4819006,Grande Prairie County No. 1,2006,Number of Businesses,331
4810051,Myrnam,2006,Number of Businesses,21
4810052,Two Hills,2006,Number of Businesses,79
4810056,Willingdon,2006,Number of Businesses,26
4810059,Andrew,2006,Number of Businesses,25
4810061,Mundare,2006,Number of Businesses,42
4810062,Chipman,2006,Number of Businesses,17
4810064,Lamont,2006,Number of Businesses,84
4810066,Bruderheim,2006,Number of Businesses,51
4811001,Wetaskiwin County No. 10,2006,Number of Businesses,258
4811002,Wetaskiwin,2006,Number of Businesses,631
4817076,Northern Lights County,2006,Number of Businesses,96
4811011,Millet,2006,Number of Businesses,176
4811012,Leduc County,2006,Number of Businesses,541
4811013,Beaumont,2006,Number of Businesses,287
4811016,Leduc,2006,Number of Businesses,923
4811018,Devon,2006,Number of Businesses,240
4811019,Calmar,2006,Number of Businesses,146
4811021,Thorsby,2006,Number of Businesses,130
4811024,Warburg,2006,Number of Businesses,82
4811026,Breton,2006,Number of Businesses,105
4811031,Drayton Valley,2006,Number of Businesses,917
4811032,Brazeau County,2006,Number of Businesses,85
4811034,Parkland County,2006,Number of Businesses,905
4811045,Wabamun,2006,Number of Businesses,47
4811046,Spring Lake,2006,Number of Businesses,14
4811048,Stony Plain,2006,Number of Businesses,788
4811049,Spruce Grove,2006,Number of Businesses,952
4811052,Strathcona County,2006,Number of Businesses,3420
4811056,Fort Saskatchewan,2006,Number of Businesses,497
4811059,Sturgeon County,2006,Number of Businesses,157
4811061,Edmonton,2006,Number of Businesses,30711
4811062,St. Albert,2006,Number of Businesses,2317
4811064,Gibbons,2006,Number of Businesses,146
4811065,Redwater,2006,Number of Businesses,156
4811066,Bon Accord,2006,Number of Businesses,56
4811068,Morinville,2006,Number of Businesses,337
4811069,Legal,2006,Number of Businesses,105
4811803,Louis Bull 138B,2006,Number of Businesses,41
4811804,Stony Plain 135,2006,Number of Businesses,16
4811806,Wabamun 133A,2006,Number of Businesses,32
4812002,Cold Lake,2006,Number of Businesses,514
4812004,Bonnyville No. 87,2006,Number of Businesses,177
4812009,Bonnyville,2006,Number of Businesses,693
4812012,Glendon,2006,Number of Businesses,56
4812014,St. Paul County No. 19,2006,Number of Businesses,496
4812016,Elk Point,2006,Number of Businesses,148
4812018,St. Paul,2006,Number of Businesses,61
4812022,Smoky Lake County,2006,Number of Businesses,33
4812024,Vilna,2006,Number of Businesses,21
4812026,Waskatenau,2006,Number of Businesses,26
4812029,Smoky Lake,2006,Number of Businesses,96
4815015,Bighorn No. 8,2006,Number of Businesses,404
4812802,Unipouheos 121,2006,Number of Businesses,4
4813061,Whispering Hills,2006,Number of Businesses,12
4812810,Cold Lake 149,2006,Number of Businesses,17
4813001,Lac Ste. Anne County,2006,Number of Businesses,107
4813002,Mayerthorpe,2006,Number of Businesses,195
4817031,Opportunity No. 17,2006,Number of Businesses,205
4813012,Alberta Beach,2006,Number of Businesses,45
4813014,Onoway,2006,Number of Businesses,163
4813019,Barrhead,2006,Number of Businesses,456
4813028,Westlock County,2006,Number of Businesses,165
4813029,Woodlands County,2006,Number of Businesses,86
4813030,Whitecourt,2006,Number of Businesses,895
4813031,Westlock,2006,Number of Businesses,393
4813032,Clyde,2006,Number of Businesses,48
4813036,Thorhild County No. 7,2006,Number of Businesses,40
4813044,Athabasca County,2006,Number of Businesses,225
4813048,Athabasca,2006,Number of Businesses,294
4813049,Island Lake,2006,Number of Businesses,7
4813051,Island Lake South,2006,Number of Businesses,2
4813057,West Baptiste,2006,Number of Businesses,1
4814003,Yellowhead County,2006,Number of Businesses,344
4814019,Hinton,2006,Number of Businesses,618
4814024,Edson,2006,Number of Businesses,861
4815007,Crowsnest Pass,2006,Number of Businesses,271
4815013,Kananaskis,2006,Number of Businesses,16
4815023,Canmore,2006,Number of Businesses,741
4815033,Jasper,2006,Number of Businesses,279
4815035,Banff,2006,Number of Businesses,414
4816037,Wood Buffalo,2006,Number of Businesses,1506
4816817,Janvier 194,2006,Number of Businesses,13
4816852,Dog Head 218,2006,Number of Businesses,12
4817021,High Prairie,2006,Number of Businesses,340
4817024,Swan Hills,2006,Number of Businesses,127
4817027,Big Lakes,2006,Number of Businesses,77
4817029,Slave Lake,2006,Number of Businesses,135
4817033,Lesser Slave River No.124,2006,Number of Businesses,549
4817825,Clear Hills 152C,2006,Number of Businesses,178
4817078,Manning,2006,Number of Businesses,206
4817093,High Level,2006,Number of Businesses,356
4817095,Mackenzie County,2006,Number of Businesses,383
4817097,Rainbow Lake,2006,Number of Businesses,66
4817819,Wabasca 166A,2006,Number of Businesses,5
4817829,Sucker Creek 150A,2006,Number of Businesses,15
4817835,Fox Lake 162,2006,Number of Businesses,1
4817845,Hay Lake 209,2006,Number of Businesses,10
4817856,Woodland Cree 226,2006,Number of Businesses,8
4818002,Fox Creek,2006,Number of Businesses,169
4818005,Grande Cache,2006,Number of Businesses,163
4818015,Greenview No. 16,2006,Number of Businesses,449
4818816,Sturgeon Lake 154,2006,Number of Businesses,4
4819008,Hythe,2006,Number of Businesses,89
4819009,Beaverlodge,2006,Number of Businesses,299
4819011,Wembley,2006,Number of Businesses,121
4819012,Grande Prairie,2006,Number of Businesses,3340
4819014,Sexsmith,2006,Number of Businesses,261
4819038,Peace River,2006,Number of Businesses,560
4819041,Smoky River No. 130,2006,Number of Businesses,140
4819042,McLennan,2006,Number of Businesses,45
4819044,Donnelly,2006,Number of Businesses,23
4819048,Girouxville,2006,Number of Businesses,46
4819049,Birch Hills County,2006,Number of Businesses,209
4819056,Rycroft,2006,Number of Businesses,77
4819058,Spirit River,2006,Number of Businesses,164
4819059,Saddle Hills County,2006,Number of Businesses,99
4819066,Fairview No. 136,2006,Number of Businesses,24
4819068,Fairview,2006,Number of Businesses,367
4819072,Berwyn,2006,Number of Businesses,39
4819074,Grimshaw,2006,Number of Businesses,219
4819826,Duncan's 151A,2006,Number of Businesses,6
4801003,Cypress County,2007,Number of Businesses,196
4801006,Medicine Hat,2007,Number of Businesses,2511
4801008,Forty Mile County No. 8,2007,Number of Businesses,62
4801009,Foremost,2007,Number of Businesses,78
4801014,Bow Island,2007,Number of Businesses,151
4801018,Redcliff,2007,Number of Businesses,230
4802001,Warner County No. 5,2007,Number of Businesses,206
4802002,Coutts,2007,Number of Businesses,21
4802006,Warner,2007,Number of Businesses,38
4802009,Stirling,2007,Number of Businesses,24
4802011,Lethbridge County,2007,Number of Businesses,274
4802012,Lethbridge,2007,Number of Businesses,3230
4802013,Coalhurst,2007,Number of Businesses,64
4802014,Nobleford,2007,Number of Businesses,34
4802016,Barons,2007,Number of Businesses,16
4802019,Coaldale,2007,Number of Businesses,298
4802022,Taber,2007,Number of Businesses,782
4802031,Newell County,2007,Number of Businesses,859
4813018,Barrhead County No. 11,2007,Number of Businesses,85
4802034,Brooks,2007,Number of Businesses,442
4802036,Duchess,2007,Number of Businesses,77
4803001,Cardston County,2007,Number of Businesses,29
4803002,Magrath,2007,Number of Businesses,69
4812038,Improvement District No. 349,2007,Number of Businesses,47
4803004,Cardston,2007,Number of Businesses,192
4810058,Lamont County,2007,Number of Businesses,55
4803011,Pincher Creek No. 9,2007,Number of Businesses,110
4803014,Pincher Creek,2007,Number of Businesses,303
4803018,Willow Creek No. 26,2007,Number of Businesses,57
4803019,Fort Macleod,2007,Number of Businesses,226
4803022,Claresholm,2007,Number of Businesses,220
4803026,Nanton,2007,Number of Businesses,175
4811802,Pigeon Lake 138A,2007,Number of Businesses,17
4803802,Blood 148,2007,Number of Businesses,23
4804001,Acadia No. 34,2007,Number of Businesses,27
4804004,Special Area No. 2,2007,Number of Businesses,234
4804006,Empress,2007,Number of Businesses,8
4804012,Special Area No. 3,2007,Number of Businesses,33
4804014,Oyen,2007,Number of Businesses,102
4804019,Youngstown,2007,Number of Businesses,21
4804020,Special Area No. 4,2007,Number of Businesses,66
4804022,Consort,2007,Number of Businesses,315
4805001,Vulcan County,2007,Number of Businesses,164
4805006,Vulcan,2007,Number of Businesses,149
4805009,Milo,2007,Number of Businesses,97
4805012,Wheatland County,2007,Number of Businesses,682
4805018,Strathmore,2007,Number of Businesses,551
4805026,Drumheller,2007,Number of Businesses,94
4805031,Starland County,2007,Number of Businesses,73
4805041,Kneehill County,2007,Number of Businesses,28
4805042,Carbon,2007,Number of Businesses,33
4805044,Acme,2007,Number of Businesses,51
4805046,Linden,2007,Number of Businesses,60
4805048,Three Hills,2007,Number of Businesses,224
4805049,Trochu,2007,Number of Businesses,131
4805802,Siksika 146,2007,Number of Businesses,22
4806001,Foothills No. 31,2007,Number of Businesses,645
4806006,High River,2007,Number of Businesses,612
4806008,Longview,2007,Number of Businesses,32
4806009,Turner Valley,2007,Number of Businesses,113
4806012,Okotoks,2007,Number of Businesses,935
4806014,Rocky View County,2007,Number of Businesses,1334
4806016,Calgary,2007,Number of Businesses,44521
4806017,Chestermere,2007,Number of Businesses,437
4806019,Cochrane,2007,Number of Businesses,778
4806021,Airdrie,2007,Number of Businesses,934
4806022,Irricana,2007,Number of Businesses,56
4806024,Beiseker,2007,Number of Businesses,62
4806026,Crossfield,2007,Number of Businesses,200
4806028,Mountain View County,2007,Number of Businesses,39
4806029,Carstairs,2007,Number of Businesses,173
4806031,Cremona,2007,Number of Businesses,57
4806034,Olds,2007,Number of Businesses,591
4806036,Sundre,2007,Number of Businesses,386
4807001,Provost No. 52,2007,Number of Businesses,132
4807002,Provost,2007,Number of Businesses,275
4807004,Czar,2007,Number of Businesses,80
4807011,Paintearth County No. 18,2007,Number of Businesses,115
4807012,Coronation,2007,Number of Businesses,150
4807019,Stettler County No. 6,2007,Number of Businesses,571
4807026,Stettler,2007,Number of Businesses,96
4807028,Rochon Sands,2007,Number of Businesses,2
4807031,Flagstaff County,2007,Number of Businesses,319
4807038,Heisler,2007,Number of Businesses,14
4807039,Daysland,2007,Number of Businesses,90
4807042,Killam,2007,Number of Businesses,111
4807048,Hardisty,2007,Number of Businesses,74
4807049,Wainwright No. 61,2007,Number of Businesses,4
4807051,Chauvin,2007,Number of Businesses,44
4807054,Wainwright,2007,Number of Businesses,429
4807056,Irma,2007,Number of Businesses,69
4808001,Red Deer County,2007,Number of Businesses,1123
4808004,Delburne,2007,Number of Businesses,84
4808005,Jarvis Bay,2007,Number of Businesses,11
4808008,Innisfail,2007,Number of Businesses,514
4808009,Penhold,2007,Number of Businesses,88
4808011,Red Deer,2007,Number of Businesses,3880
4808012,Sylvan Lake,2007,Number of Businesses,387
4808013,Norglenwold,2007,Number of Businesses,20
4808022,Lacombe County,2007,Number of Businesses,133
4808023,Birchcliff,2007,Number of Businesses,10
4808024,Eckville,2007,Number of Businesses,198
4808025,Half Moon Bay,2007,Number of Businesses,1
4808026,Bentley,2007,Number of Businesses,120
4808029,Blackfalds,2007,Number of Businesses,210
4808031,Lacombe,2007,Number of Businesses,754
4808032,Clive,2007,Number of Businesses,67
4808038,Ponoka County,2007,Number of Businesses,191
4808039,Ponoka,2007,Number of Businesses,487
4809002,Clearwater County,2007,Number of Businesses,508
4809015,Rocky Mountain House,2007,Number of Businesses,884
4809810,Big Horn 144A,2007,Number of Businesses,17
4810001,Camrose County,2007,Number of Businesses,301
4810006,Edberg,2007,Number of Businesses,36
4810011,Camrose,2007,Number of Businesses,895
4810016,Beaver County,2007,Number of Businesses,248
4810019,Ryley,2007,Number of Businesses,29
4810022,Viking,2007,Number of Businesses,126
4810026,Minburn County No. 27,2007,Number of Businesses,89
4810028,Vegreville,2007,Number of Businesses,303
4810032,Minburn,2007,Number of Businesses,7
4810034,Mannville,2007,Number of Businesses,66
4810036,Vermilion River County,2007,Number of Businesses,246
4810039,Lloydminster (Part),2007,Number of Businesses,1023
4810041,Kitscoty,2007,Number of Businesses,72
4810042,Vermilion,2007,Number of Businesses,290
4810048,Two Hills County No. 21,2007,Number of Businesses,63
4819006,Grande Prairie County No. 1,2007,Number of Businesses,723
4810052,Two Hills,2007,Number of Businesses,79
4810061,Mundare,2007,Number of Businesses,34
4810066,Bruderheim,2007,Number of Businesses,53
4811001,Wetaskiwin County No. 10,2007,Number of Businesses,207
4811002,Wetaskiwin,2007,Number of Businesses,613
4817076,Northern Lights County,2007,Number of Businesses,37
4811011,Millet,2007,Number of Businesses,2
4811012,Leduc County,2007,Number of Businesses,687
4811013,Beaumont,2007,Number of Businesses,282
4811016,Leduc,2007,Number of Businesses,995
4811018,Devon,2007,Number of Businesses,228
4811021,Thorsby,2007,Number of Businesses,136
4811024,Warburg,2007,Number of Businesses,83
4811031,Drayton Valley,2007,Number of Businesses,899
4811032,Brazeau County,2007,Number of Businesses,214
4811034,Parkland County,2007,Number of Businesses,921
4811038,Seba Beach,2007,Number of Businesses,22
4811046,Spring Lake,2007,Number of Businesses,13
4811048,Stony Plain,2007,Number of Businesses,810
4811049,Spruce Grove,2007,Number of Businesses,862
4811052,Strathcona County,2007,Number of Businesses,3267
4811056,Fort Saskatchewan,2007,Number of Businesses,556
4811059,Sturgeon County,2007,Number of Businesses,448
4811061,Edmonton,2007,Number of Businesses,30573
4811062,St. Albert,2007,Number of Businesses,2394
4811064,Gibbons,2007,Number of Businesses,28
4811065,Redwater,2007,Number of Businesses,7
4811066,Bon Accord,2007,Number of Businesses,34
4811068,Morinville,2007,Number of Businesses,317
4811069,Legal,2007,Number of Businesses,95
4811801,Ermineskin 138,2007,Number of Businesses,40
4811804,Stony Plain 135,2007,Number of Businesses,17
4812002,Cold Lake,2007,Number of Businesses,272
4812004,Bonnyville No. 87,2007,Number of Businesses,478
4812009,Bonnyville,2007,Number of Businesses,684
4812014,St. Paul County No. 19,2007,Number of Businesses,266
4812018,St. Paul,2007,Number of Businesses,53
4812022,Smoky Lake County,2007,Number of Businesses,517
4815015,Bighorn No. 8,2007,Number of Businesses,405
4812802,Unipouheos 121,2007,Number of Businesses,3
4813061,Whispering Hills,2007,Number of Businesses,10
4812811,Kehewin 123,2007,Number of Businesses,7
4813001,Lac Ste. Anne County,2007,Number of Businesses,263
4817031,Opportunity No. 17,2007,Number of Businesses,14
4813012,Alberta Beach,2007,Number of Businesses,46
4813014,Onoway,2007,Number of Businesses,218
4813019,Barrhead,2007,Number of Businesses,431
4813028,Westlock County,2007,Number of Businesses,152
4813029,Woodlands County,2007,Number of Businesses,270
4813030,Whitecourt,2007,Number of Businesses,857
4813031,Westlock,2007,Number of Businesses,348
4813036,Thorhild County No. 7,2007,Number of Businesses,28
4813044,Athabasca County,2007,Number of Businesses,91
4813046,Boyle,2007,Number of Businesses,108
4813048,Athabasca,2007,Number of Businesses,295
4813049,Island Lake,2007,Number of Businesses,6
4813051,Island Lake South,2007,Number of Businesses,2
